user_id,segment,home_location_id
6138286,single_trip,1
9216891,browser_only,1
15482477,single_trip,1
6685114,browser_only,1
6689746,browser_only,1
11818073,multi_trip,4
4498502,browser_only,1
153594,browser_only,1
4933337,browser_only,1
11440469,browser_only,1
10067376,non_searcher,1
11738521,non_searcher,3
8235044,multi_trip,1
15372583,browser_only,4
455680,non_searcher,1
4412424,non_searcher,1
8568111,browser_only,1
16259595,multi_trip,1
12792641,non_searcher,1
5668479,browser_only,1
14787822,non_searcher,1
3510840,single_trip,4
6778360,browser_only,1
11996052,browser_only,1
2989184,browser_only,1
5371654,browser_only,1
12621977,browser_only,1
9658602,non_searcher,2
15354835,non_searcher,1
12425430,browser_only,7
4247910,single_trip,3
9555261,non_searcher,1
7221059,non_searcher,1
16391746,non_searcher,1
5285251,browser_only,1
13908368,non_searcher,1
4564014,non_searcher,2
14918023,non_searcher,1
7652380,single_trip,1
2069437,single_trip,1
13592525,multi_trip,1
1025459,browser_only,1
7817168,non_searcher,4
8883253,non_searcher,1
4742931,browser_only,1
1867509,browser_only,1
3823515,non_searcher,1
14756496,multi_trip,2
13660848,non_searcher,1
8362175,non_searcher,2
3021564,non_searcher,3
1171680,non_searcher,4
15337806,browser_only,2
11132449,browser_only,1
1728023,single_trip,2
351474,non_searcher,9
6417065,single_trip,1
14472091,browser_only,1
16689208,browser_only,3
9976673,non_searcher,1
9294025,browser_only,1
4197991,browser_only,2
2494142,single_trip,9
12432118,non_searcher,1
4202879,frequent_renter,4
10435070,browser_only,1
8975211,non_searcher,4
5441624,browser_only,4
2413258,browser_only,4
10071488,single_trip,1
1708218,non_searcher,1
12063714,non_searcher,1
10508346,browser_only,1
14523625,multi_trip,1
2855544,browser_only,1
11615646,browser_only,1
16596085,multi_trip,1
15481579,browser_only,3
5142008,non_searcher,1
8634908,non_searcher,5
877100,browser_only,1
6386528,non_searcher,1
12245130,multi_trip,1
9768761,multi_trip,1
10406881,browser_only,1
3594632,non_searcher,1
4164728,browser_only,1
6307561,non_searcher,1
3626110,non_searcher,1
12907766,browser_only,2
12404311,multi_trip,1
11853142,single_trip,1
15444169,non_searcher,1
8019591,browser_only,1
12936989,browser_only,1
1714905,non_searcher,1
14263614,non_searcher,1
3898940,non_searcher,1
8200038,non_searcher,1
4422539,non_searcher,2
2966924,frequent_renter,1
12327664,non_searcher,1
11779182,single_trip,1
12595139,non_searcher,1
11363899,non_searcher,1
511846,non_searcher,3
16031344,non_searcher,1
11539007,multi_trip,3
10979264,browser_only,1
15632230,non_searcher,1
13196180,non_searcher,1
16378736,single_trip,1
13776657,browser_only,1
