price_id,location_id,supplier_id,car_class,pickup_date,obs_ts,current_price,available_cars,days_until_pickup,pickup_month
1,10,1,suv,2024-01-16 00:00:00,2024-01-01 00:00:00,78.72,15,15,1
2,1,4,luxury,2024-01-07 00:00:00,2024-01-01 00:00:00,162.86,12,6,1
3,4,3,suv,2024-01-11 01:00:00,2024-01-01 01:00:00,82.56,14,10,1
4,12,2,luxury,2024-01-11 03:00:00,2024-01-01 03:00:00,163.01,9,10,1
5,15,4,luxury,2024-01-04 03:00:00,2024-01-01 03:00:00,200.06,13,3,1
6,13,5,economy,2024-01-15 03:00:00,2024-01-01 03:00:00,46.55,10,14,1
7,6,2,luxury,2024-01-20 06:00:00,2024-01-01 06:00:00,139.13,12,19,1
8,2,3,compact,2024-01-20 06:00:00,2024-01-01 06:00:00,60.71,18,19,1
9,14,1,economy,2024-01-09 07:00:00,2024-01-01 07:00:00,60.6,8,8,1
10,13,2,compact,2024-01-19 07:00:00,2024-01-01 07:00:00,81.33,21,18,1
11,9,1,luxury,2024-01-06 07:00:00,2024-01-01 07:00:00,219.35,12,5,1
12,8,3,luxury,2024-01-19 09:00:00,2024-01-01 09:00:00,161.99,15,18,1
13,6,4,suv,2024-01-11 11:00:00,2024-01-01 11:00:00,92.02,14,10,1
14,12,4,compact,2024-01-17 11:00:00,2024-01-01 11:00:00,54.16,18,16,1
15,12,5,economy,2024-01-06 12:00:00,2024-01-01 12:00:00,47.42,10,5,1
16,15,4,luxury,2024-01-08 13:00:00,2024-01-01 13:00:00,143.47,12,7,1
17,17,2,luxury,2024-01-15 14:00:00,2024-01-01 14:00:00,197.83,7,14,1
18,6,3,luxury,2024-01-14 15:00:00,2024-01-01 15:00:00,118.39,19,13,1
19,15,2,suv,2024-01-21 15:00:00,2024-01-01 15:00:00,68.99,17,20,1
20,20,2,economy,2024-01-23 15:00:00,2024-01-01 15:00:00,60.82,10,22,1
21,18,1,economy,2024-01-19 16:00:00,2024-01-01 16:00:00,56.08,11,18,1
22,14,1,compact,2024-01-13 18:00:00,2024-01-01 18:00:00,57.14,15,12,1
23,1,5,economy,2024-01-08 19:00:00,2024-01-01 19:00:00,57.02,9,7,1
24,21,4,compact,2024-01-14 20:00:00,2024-01-01 20:00:00,57.73,14,13,1
